"filename", "language", "JSON", "Properties", "JavaScript", "Markdown", "XML", "CSS", "JavaScript JSX", "HTML", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\ReservationCancel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 6, 15, 104
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\ReservationList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 2, 21, 174
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\StaffRegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 26, 7, 118
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\Story.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 2, 5, 52
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\Tab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 6, 4, 39
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\layouts\CustomerLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\layouts\StaffLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\layouts\UserLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\EmailVerifyPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 5, 5, 58
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\ForgetPasswordPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 5, 72
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 6, 17, 161
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\ResetPasswordPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 5, 76
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\SignupPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\cart\CartPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 3, 18, 206
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\cart\CustomerOrderList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 1, 17, 178
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\cart\OrderDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 4, 13, 101
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\cart\OrderForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 5, 22, 189
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\customer\CustomerHome.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\customer\CustomerNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 10, 11, 150
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\customer\CustomerProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 11, 95
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\customer\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 21, 191
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\customer\ReserveNow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 1, 16, 179
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\customer\TopMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 13, 110
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\customer\ViewMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\payment\Failure.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 3, 24
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\payment\Payment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 5, 56
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\payment\Success.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 1, 20, 157
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\pages\staff\StaffHome.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\tailwind.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\vite.config.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"c:\Users\Acer\Informatics\FYP\Foodmate RM\package-lock.json", "JSON", 4127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4128
"c:\Users\Acer\Informatics\FYP\Foodmate RM\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"Total", "-", 34477, 9, 2487, 50, 3, 80, 4983, 46, 168, 296, 710, 1134, 44443
